seq,match,half,n_frames,label,hota,deta,assa,loca,off_hota,off_deta,off_assa,off_loca,ids,gt_ids
CLPD-132831-2nd,132831,2nd,68375,full,2.9361189354218915,1.2307845506730606,7.096121296453144,70.18859342590125,17.9054625934503,41.41895758194268,7.765934428159942,77.61077940986678,273,28
CLPD-132877-1st,132877,1st,750,30s,27.90885950032139,9.795183582618773,79.72006698031582,85.23716735482625,60.82997130783144,53.382224815980486,69.72567058817843,83.75386629706058,32,22
CLPD-132877-1st,132877,1st,1500,1min,28.255819668288172,9.826616071134843,81.40159867574167,87.01103458277377,55.867543285817725,49.76260164898291,63.29121773738794,84.1006551178509,36,22
CLPD-132877-1st,132877,1st,3000,2min,27.513513292658125,9.591870977168073,79.08655784755194,86.66779243887453,51.0219815991065,48.28331434785416,54.546462454299295,83.79194224799143,46,22
CLPD-132877-1st,132877,1st,7500,5min,27.817401859512604,11.680154022835678,66.3483602992026,86.27493356402385,49.12761603958127,49.92250691184347,48.90798293744657,84.0469619330047,68,22
CLPD-132877-1st,132877,1st,15000,10min,27.36983801973494,12.781465539306314,58.721348080152325,85.64718293738231,46.00394199593364,49.00229982431822,43.74747862993078,83.82742572395985,99,22
CLPD-132877-1st,132877,1st,30000,20min,19.641554854274123,9.634940316268553,40.108859074347045,85.99525995202862,38.119146233597355,48.302156569405895,30.490578508326415,83.86620434883221,141,22
CLPD-132877-1st,132877,1st,67700,full,15.270366423522425,8.712025449377425,26.790063336206373,85.31844927241015,29.255063716947934,46.432747655486956,18.630134517264015,83.30319407128044,240,22
CLPD-132877-2nd,132877,2nd,750,30s,11.092071175439418,2.1726621344252885,56.857741764357804,78.34119870591931,43.8699179229548,33.62007331853553,58.0726851477283,81.17455835581396,38,22
CLPD-132877-2nd,132877,2nd,1500,1min,9.938609318034048,1.8136754429830844,54.60016001900071,76.08426408580667,49.14795542805304,40.67811203942905,60.135685462370034,83.43151355618002,44,22
CLPD-132877-2nd,132877,2nd,3000,2min,11.12540361127333,1.8962312642956831,65.44123164874944,80.09600758704511,51.530735588108975,48.78316086649794,54.886007844725235,85.47790820658622,51,22
CLPD-132877-2nd,132877,2nd,7500,5min,10.114121044761538,1.9445032890103953,52.66323279771331,80.50198628416581,43.046184507382826,52.76825083650568,35.3280122340945,85.41347909350556,66,22
CLPD-132877-2nd,132877,2nd,15000,10min,12.075844808963119,3.20795546293853,45.51652950886794,81.97047936145101,34.66549624192314,47.45508195162014,25.5538876680816,84.34918936612745,93,22
CLPD-132877-2nd,132877,2nd,30000,20min,12.559245307068757,5.954290385481361,26.49460843297365,84.56384454678329,28.878664562245554,47.09254146905163,17.87748846547046,84.11141647563338,131,32
CLPD-132877-2nd,132877,2nd,69350,full,13.640018064940582,8.067538494918477,23.06734577059882,86.18129253573179,25.399946630594954,45.55256850545118,14.309034296724722,84.1440059392491,201,35
